Avatar:TheWayofWater | Gross: $684075767 | Release: 12/16/23 | Distributor: 20thCenturyStudios
AboutMyFather | Gross: $12089391 | Release: 5/26/23 | Distributor: Lionsgate

HisOnlySon | Gross: $12084084 | Release: 3/31/23 | Distributor: AngelStudios

Suzume | Gross: $10760901 | Release: 4/14/23 | Distributor: Crunchyroll

PastLives | Gross: $10724951 | Release: 6/2/23 | Distributor: A24

TheBansheesofInisherin | Gross: $10582266 | Release: 10/21/23 | Distributor: SearchlightPictures

TheMachine | Gross: $10458331 | Release: 5/26/23 | Distributor: SonyPicturesEntertainment(SPE)

DemonSlayer:KimetsuNoYaiba-TotheSwordsmithVillage | Gross: $10117806 | Release: 3/3/23 | Distributor: Crunchyroll

HouseParty | Gross: $9002247 | Release: 1/13/23 | Distributor: WarnerBros.

BeauIsAfraid | Gross: $8176562 | Release: 4/14/23 | Distributor: A24

BTS:YettoComeinCinemas | Gross: $8093270 | Release: 2/1/23 | Distributor: TrafalgarReleasing

Sisu | Gross: $7265622 | Release: 4/28/23 | Distributor: Lionsgate

StarWars:EpisodeVI-ReturnoftheJedi2023Re-release | Gross: $7259924 | Release: 4/28/23 | Distributor: '-

Tár | Gross: $6773650 | Release: 10/7/23 | Distributor: FocusFeatures

OperationFortune:RusedeGuerre | Gross: $6496125 | Release: 3/3/23 | Distributor: Lionsgate

LoveAgain | Gross: $6230837 | Release: 5/5/23 | Distributor: ScreenGems

TheChosenSeason3Finale | Gross: $5525069 | Release: 2/2/23 | Distributor: FathomEvents

WomenTalking | Gross: $5456531 | Release: 12/23/23 | Distributor: UnitedArtistsReleasing

Nefarious | Gross: $5433685 | Release: 4/14/23 | Distributor: SoliDeoGloriaReleasing

BigGeorgeForeman | Gross: $5426772 | Release: 4/28/23 | Distributor: SonyPicturesEntertainment(SPE)

InfinityPool | Gross: $5078400 | Release: 1/27/23 | Distributor: Neon

TheWanderingEarthII | Gross: $5023132 | Release: 1/22/23 | Distributor: WellGoUSAEntertainment

YouHurtMyFeelings | Gross: $4830788 | Release: 5/26/23 | Distributor: A24

Kandahar | Gross: $4813132 | Release: 5/26/23 | Distributor: OpenRoadFilms(II)

TriangleofSadness | Gross: $4608096 | Release: 10/7/23 | Distributor: Neon

Hypnotic | Gross: $4500169 | Release: 5/12/23 | Distributor: KetchupEntertainment

Marlowe | Gross: $4350243 | Release: 2/15/23 | Distributor: OpenRoadFilms(II)

TheAmazingMaurice | Gross: $4303645 | Release: 2/3/23 | Distributor: VivaPictures

Mummies | Gross: $4275970 | Release: 2/24/23 | Distributor: WarnerBros.

Retribution | Gross: $3821285 | Release: 8/25/23 | Distributor: RoadsideAttractions

PonniyinSelvan:PartTwo | Gross: $3813000 | Release: 4/28/23 | Distributor: '-

LeftBehind:RiseoftheAntichrist | Gross: $3649422 | Release: 1/26/23 | Distributor: FathomEvents

TheaterCamp | Gross: $3644801 | Release: 7/14/23 | Distributor: SearchlightPictures

TheJourney:AMusicSpecialfromAndreaBocelli | Gross: $3574915 | Release: 4/2/23 | Distributor: FathomEvents

Chevalier | Gross: $3541159 | Release: 4/21/23 | Distributor: WaltDisneyStudiosMotionPictures

MafiaMamma | Gross: $3496761 | Release: 4/14/23 | Distributor: BleeckerStreetMedia

AThousandandOne | Gross: $3400020 | Release: 3/31/23 | Distributor: FocusFeatures

Living | Gross: $3038113 | Release: 12/23/23 | Distributor: SonyPicturesClassics

2023OscarNominatedShortFilms:LiveAction | Gross: $3025631 | Release: 2/17/23 | Distributor: ShortsTV

TheHill | Gross: $2515612 | Release: 8/25/23 | Distributor: BriarcliffEntertainment

TuJhoothiMainMakkaar | Gross: $2503604 | Release: 3/8/23 | Distributor: YashRajFilmsUSAInc.

ComeOutinJesusName | Gross: $2500574 | Release: 3/13/23 | Distributor: FathomEvents

AGoodPerson | Gross: $2210465 | Release: 3/24/23 | Distributor: UnitedArtistsReleasing

MovingOn | Gross: $2136832 | Release: 3/17/23 | Distributor: RoadsideAttractions

TheMiracleClub | Gross: $2104152 | Release: 7/14/23 | Distributor: SonyPicturesEntertainment(SPE)

Fear | Gross: $2090261 | Release: 1/27/23 | Distributor: HiddenEmpireFilmGroup(HEFG)

Skinamarink | Gross: $2052272 | Release: 1/13/23 | Distributor: IFCFilms

JurassicPark2023Re-release(30thAnniversary) | Gross: $1864240 | Release: 8/25/23 | Distributor: UniversalPictures

Golda | Gross: $1856809 | Release: 8/25/23 | Distributor: BleeckerStreetMedia

SomewhereinQueens | Gross: $1802442 | Release: 4/21/23 | Distributor: RoadsideAttractions

Jules | Gross: $1775876 | Release: 8/11/23 | Distributor: BleeckerStreetMedia

WinniethePooh:BloodandHoney | Gross: $1750639 | Release: 2/15/23 | Distributor: FathomEvents

LostintheStars | Gross: $1721446 | Release: 7/7/23 | Distributor: CMCPictures

Aftersun | Gross: $1658790 | Release: 10/21/23 | Distributor: A24

ThatTimeIGotReincarnatedasaSlimetheMovie:ScarletBond | Gross: $1588491 | Release: 1/20/23 | Distributor: Crunchyroll

PoliteSociety | Gross: $1545600 | Release: 4/28/23 | Distributor: FocusFeatures

TheQuietGirl | Gross: $1500014 | Release: 2/24/23 | Distributor: Neon

BlackBerry | Gross: $1476597 | Release: 5/12/23 | Distributor: IFCFilms

SpiritedAway2023Re-release(LiveonStage) | Gross: $1455081 | Release: 4/23/23 | Distributor: FathomEvents

Oldboy2023Re-release | Gross: $1443314 | Release: 8/16/23 | Distributor: '-

MaybeIDo | Gross: $1293722 | Release: 1/27/23 | Distributor: VerticalEntertainment

BillieEilishLiveattheO2 | Gross: $1290000 | Release: 1/27/23 | Distributor: TrafalgarReleasing

TheFirstSlamDunk | Gross: $1256517 | Release: 7/28/23 | Distributor: GKIDS

TheLostKing | Gross: $1188032 | Release: 3/24/23 | Distributor: IFCFilms

EmpireofLight | Gross: $1177577 | Release: 12/9/23 | Distributor: SearchlightPictures

TheLordoftheRings:TheReturnoftheKing20thAnniversary | Gross: $1176085 | Release: 4/13/23 | Distributor: FathomEvents

Close | Gross: $1100113 | Release: 1/27/23 | Distributor: A24

Emily | Gross: $1097067 | Release: 2/17/23 | Distributor: BleeckerStreetMedia

KnightsoftheZodiac | Gross: $1090155 | Release: 5/12/23 | Distributor: '-

EO | Gross: $1068782 | Release: 11/18/23 | Distributor: SideshowReleasing

Broker | Gross: $1046899 | Release: 12/23/23 | Distributor: Neon

TheRoundup:NoWayOut | Gross: $909411 | Release: 6/2/23 | Distributor: CapelightPictures

Inside | Gross: $897190 | Release: 3/17/23 | Distributor: FocusFeatures

Fool'sParadise | Gross: $855173 | Release: 5/12/23 | Distributor: RoadsideAttractions

Paint | Gross: $811739 | Release: 4/7/23 | Distributor: IFCFilms

HiddenBlade | Gross: $803189 | Release: 2/17/23 | Distributor: WellGoUSAEntertainment

ReturntoSeoul | Gross: $798774 | Release: 2/17/23 | Distributor: SonyPicturesClassics

TheDevilConspiracy | Gross: $765218 | Release: 1/13/23 | Distributor: '-

RollwithIt | Gross: $757981 | Release: 5/9/23 | Distributor: FathomEvents

ShowingUp | Gross: $754483 | Release: 4/7/23 | Distributor: A24

HowtoBlowUpaPipeline | Gross: $750010 | Release: 4/7/23 | Distributor: '-

RallyRoadRacers | Gross: $744169 | Release: 5/12/23 | Distributor: VivaPictures

